Title,Company,Min Salary,Max Salary,Salary Type,Location,Job Posted
JAUNESNIOJI(-YSIS) JAVA PROGRAMUOTOJA (-S) (DATA HUB),Ignitis group,2076,3115,Prieš mokesčius,Vilnius,prieš 1 val.
ABAP Developer Internship (HR Applications),"Festo, UAB",1100,1100,Prieš mokesčius,Kaunas,prieš 7 val.
IT INFRASTRUCTURE DELIVERY MANAGER (F/M/D),Ignitis group,2816,4224,Prieš mokesčius,Vilnius,prieš 7 val.
Data Analyst,"Platforma LT, UAB",2000,0,"""į rankas""",Vilnius,prieš 8 val.
IT PRIEŽIŪROS SPECIALISTĖ (-AS) (MONITORINGO KOMANDOJE),Ignitis group,1597,2396,Prieš mokesčius,Vilnius,prieš 1 d.
AI Developer,"CyberCare, UAB",3300,6000,Prieš mokesčius,Vilnius,prieš 1 d.
Data Architect - Senior Data Engineer,"CyberCare, UAB",4400,6940,Prieš mokesčius,Vilnius,prieš 1 d.
IT MANAGER,Alliance for Recruitment,3960,4658,Prieš mokesčius,Vilnius,prieš 1 d.
IT projektų vadovas (-ė),"Personalo valdymo inovacijos, UAB",3200,4300,Prieš mokesčius,Vilnius,prieš 1 d.
ANALITIKĖ (-AS),Ignitis group,2275,3412,Prieš mokesčius,Vilnius,prieš 2 d.
PRODUKTŲ GRUPĖS VADYBININKAS (-Ė),"LiniKODAS, UAB",1800,3000,Prieš mokesčius,Vilnius,prieš 2 d.
VAIZDO STEBĖJIMO (CCTV) SISTEMŲ INŽINIERIUS,"Advantus, UAB",2000,2400,Prieš mokesčius,Vilnius,prieš 2 d.
Senior Data Science Analyst,"IKI Lietuva, UAB",3000,4000,Prieš mokesčius,Vilnius,prieš 2 d.
Senior Business Analyst,"IKI Lietuva, UAB",3200,3500,Prieš mokesčius,Vilnius,prieš 2 d.
CNC staklių operatorius,"ALT REKLAMA, UAB",900,1400,"""į rankas""",Alytus,prieš 2 d.
IT produkto savininkas (-ė),"Lietuvos paštas, AB",2500,3200,Prieš mokesčius,Vilnius,prieš 2 d.
IT Analitikas,"Everise Labs, UAB",1000,2000,"""į rankas""",Kaunas,prieš 2 d.
ATRASK SAVE ELEKTROS TINKLO KOKYBĖS VERTINIMO INŽINIERĖS (-IAUS) POZICIJOJE,Ignitis group,1597,2396,Prieš mokesčius,Vilnius,prieš 2 d.
ATRASK SAVE ELEKTROS TINKLO KOKYBĖS VERTINIMO INŽINIERĖS (-IAUS) POZICIJOJE,Ignitis group,1597,2396,Prieš mokesčius,Širvintos,prieš 2 d.
ATRASK SAVE ELEKTROS TINKLO KOKYBĖS VERTINIMO INŽINIERĖS (-IAUS) POZICIJOJE,Ignitis group,1597,2396,Prieš mokesčius,Šalčininkai,prieš 2 d.
ATRASK SAVE ELEKTROS TINKLO KOKYBĖS VERTINIMO INŽINIERĖS (-IAUS) POZICIJOJE,Ignitis group,1597,2396,Prieš mokesčius,Trakai,prieš 2 d.
Lektorius maketuotojų mokymams,"SDG, UAB",15,40,Prieš mokesčius,Visa Lietuva,prieš 2 d.
Front-end programmer,UAB Energy Advice,1800,3000,Prieš mokesčius,Kaunas,prieš 2 d.
Verslo duomenų analitikos projekto vadovas (-ė),"Lietuvos paštas, AB",4500,5300,Prieš mokesčius,Vilnius,prieš 2 d.
IT vidaus auditorius (-ė),"Lietuvos paštas, AB",3000,3450,Prieš mokesčius,Vilnius,prieš 2 d.
Verslo duomenų analitikas (-ė),"Lietuvos paštas, AB",2200,2600,Prieš mokesčius,Vilnius,prieš 2 d.
SAP S/4HANA FICO KONSULTANTAS (-Ė),"LIETPAK, UAB",2500,3600,Prieš mokesčius,Vilnius,prieš 2 d.
Informacinių sistemų specialistas (-ė),"DPD Lietuva, UAB",2500,2800,Prieš mokesčius,Vilnius,prieš 2 d.
IT KONSULTANTAS VILNIUJE / KAUNE,"RIVILĖ, UAB",2500,3000,Prieš mokesčius,Kaunas,prieš 3 d.
IT KONSULTANTAS VILNIUJE / KAUNE,"RIVILĖ, UAB",2500,3000,Prieš mokesčius,Vilnius,prieš 3 d.
TECHNINIS IT KONSULTANTAS VILNIUJE / KAUNE,"RIVILĖ, UAB",2000,3000,Prieš mokesčius,Kaunas,prieš 3 d.
TECHNINIS IT KONSULTANTAS VILNIUJE / KAUNE,"RIVILĖ, UAB",2000,3000,Prieš mokesčius,Vilnius,prieš 3 d.
Senior Machine Learning Engineer,Unisys,4166,6666,Prieš mokesčius,Vilnius,prieš 3 d.
"Personalo, darbo laiko ir darbo užmokesčio sistemų konsultantas (-ė)","Alna Business Solutions, UAB",2200,4500,Prieš mokesčius,Vilnius,prieš 3 d.
Lektorius multimedijos techniko mokymams,"SDG, UAB",15,40,Prieš mokesčius,Visa Lietuva,prieš 3 d.
Lektorius kompiuterinio projektavimo operatoriaus mokymams,"SDG, UAB",15,40,Prieš mokesčius,Visa Lietuva,prieš 3 d.
Pardavimų vadybininkas (-ė) (programinės įrangos pardavimai verslo klientams užsienyje),"Personalo valdymo inovacijos, UAB",3306,4133,Prieš mokesčius,Vilnius,prieš 3 d.
Verslo plėtros užsienio rinkose departamento direktorius (-ė) (tarptautinė IT įmonė),"Personalo valdymo inovacijos, UAB",6612,8265,Prieš mokesčius,Vilnius,prieš 3 d.
Kompiuterių tinklo ir sistemų administratorius (-ė),"Personalo valdymo inovacijos, UAB",3306,4463,Prieš mokesčius,Vilnius,prieš 3 d.
Programinės įrangos palaikymo inžinierius (-ė) (software support engineer),"Personalo valdymo inovacijos, UAB",2976,4463,Prieš mokesčius,Vilnius,prieš 3 d.
Bankomatų ir jų sistemų techninės priežiūros departamento direktorius (-ė),"Personalo valdymo inovacijos, UAB",6612,8265,Prieš mokesčius,Vilnius,prieš 3 d.
Interneto puslapio ir duomenų bazės administratorius (-ė),Vilniaus Gedimino technikos universitetas,1704,2023,Prieš mokesčius,Vilnius,prieš 3 d.
Sistemų administratorius (-ė),"Kelių priežiūra, AB",1800,2300,Prieš mokesčius,Klaipėda,prieš 3 d.
Mokėjimo kortelių sistemų specialistas (-ė),"Personalo valdymo inovacijos, UAB",4300,0,Prieš mokesčius,Vilnius,prieš 3 d.
PROJECT RISK ANALYST (F/M/D) | IGNITIS RENEWABLES,Ignitis group,2560,3840,Prieš mokesčius,Vilnius,prieš 3 d.
PHP vyr. programuotojas (-a),Vilniaus Gedimino technikos universitetas,2000,2500,Prieš mokesčius,Vilnius,prieš 3 d.
Lektorius e. prekybos mokymams,"SDG, UAB",15,40,Prieš mokesčius,Visa Lietuva,prieš 3 d.
IS ANALITIKAS (Stambūs ERP sistemų projektai_Tarptautinės draudimo kompanijos),PERSONALO AKADEMIJA,2500,3500,"""į rankas""",Vilnius,prieš 5 d.
Software Testing Engineer,"Intersurgical, UAB",2000,3200,Prieš mokesčius,Pabradė,prieš 6 d.
RPA Developer,Alliance for Recruitment,3959,4658,Prieš mokesčius,Visa Lietuva,prieš 6 d.
SENIOR PHP DEVELOPER (SELF-SERVICE SYSTEM) (F/M/D),Ignitis group,3328,4992,Prieš mokesčius,Vilnius,prieš 6 d.
SOLUTION ARCHITECT (F/M/D),Ignitis group,4061,6092,Prieš mokesčius,Vilnius,prieš 6 d.
VYR. IT INFRASTRUKTŪROS ADMINISTRATORĖ (-IUS) (VIRTUALIZACIJOS),Ignitis group,2816,4224,Prieš mokesčius,Vilnius,prieš 6 d.
IT TESTUOTOJA (-AS) (NV SISTEMA),Ignitis group,1977,2966,Prieš mokesčius,Vilnius,prieš 6 d.
DELIVERY MANAGER (F/M/D),Ignitis group,3436,5155,Prieš mokesčius,Vilnius,prieš 6 d.
VYR. IT TESTUOTOJA (-AS),Ignitis group,2816,4224,Prieš mokesčius,Vilnius,prieš 6 d.
HEAD OF IT ASSET AND LICENCE MANAGEMENT TEAM (F/M/D),Ignitis group,3436,5155,Prieš mokesčius,Vilnius,prieš 6 d.
PHP (SYMFONY/DRUPAL) PROGRAMUOTOJA (-AS),Ignitis group,2958,4436,Prieš mokesčius,Vilnius,prieš 6 d.
SENIOR PHP DEVELOPER (F/M/D)(SELF-SERVICE SYSTEM),Ignitis group,3328,4992,Prieš mokesčius,Kaunas,prieš 6 d.
Bankomatų ir jų sistemų techninės priežiūros departamento direktorius (-ė),"Personalo valdymo inovacijos, UAB",6612,8265,Prieš mokesčius,Vilnius,liko 2 d.
VYR. IT ANALITIKĖ (-AS) (IGNITIS SAVITARNA),Ignitis group,2816,4224,Prieš mokesčius,Vilnius,prieš 6 d.
CONFIGURATION ANALYST (F/M/D),Ignitis group,2224,3336,Prieš mokesčius,Vilnius,prieš 6 d.
Skaitmeninės bibliotekos skyriaus vyr. specialistas (-ė) (sistemų administratorius),Vilniaus Gedimino technikos universitetas,1679,1937,Prieš mokesčius,Vilnius,liko 5 d.
Skaitmeninės bibliotekos skyriaus vedėjas (-a),Vilniaus Gedimino technikos universitetas,1881,2246,Prieš mokesčius,Vilnius,liko 5 d.
Produkto vadovas (-ė) El. parašo sertifikatų skyriuje,"Registrų centras, VĮ",2384,3576,Prieš mokesčius,Vilnius,prieš 1 sav.
PRODUKTO VADOVAS (-Ė) eSVEIKATOS SKYRIUJE,"Registrų centras, VĮ",2384,3576,Prieš mokesčius,Vilnius,prieš 1 sav.
PRODUKTO VADOVAS (-Ė),"Registrų centras, VĮ",2384,3576,Prieš mokesčius,Vilnius,prieš 1 sav.
VEIKLOS ANALITIKAS (-Ė),"Registrų centras, VĮ",1918,2878,Prieš mokesčius,Vilnius,prieš 1 sav.
VEIKLOS PROCESŲ ANALITIKAS (-Ė) (El. parašo sertifikatų skyriuje),"Registrų centras, VĮ",1918,2878,Prieš mokesčius,Vilnius,prieš 1 sav.
IT SPECIALISTAS (-Ė) (KAUNAS),"Veiklos valdymo sprendimai, UAB",1200,2500,"""į rankas""",Kaunas,prieš 1 sav.
Kompiuterinių sistemų inžinierius (-ė) - automatikas (-ė),"Noriu darbo, UAB",1800,2200,Prieš mokesčius,Kaunas,prieš 1 sav.
IT SISTEMŲ ADMINISTRATORIUS - IT INŽINIERIUS (pilnas stambių ir vidutinio dydžio kompanijų IT infrastruktūros administravimas),PERSONALO AKADEMIJA,1700,2200,"""į rankas""",Vilnius,prieš 1 sav.
OFFSHORE PROJECT RISK ANALYST (F/M/D) | IGNITIS RENEWABLES,Ignitis group,2560,3840,Prieš mokesčius,Vilnius,prieš 1 sav.
MARINE HEALTH AND SAFETY SPECIALIST (F/M/D) | IGNITIS RENEWABLES,Ignitis group,3436,5155,Prieš mokesčius,Vilnius,prieš 1 sav.
MS Dynamics 365 Supply Chain konsultantas (-ė),"Alna Business Solutions, UAB",2200,4500,Prieš mokesčius,Vilnius,prieš 1 sav.
Duomenų inžinierius (-ė),Lietuvos Respublikos aplinkos ministerijos Aplinkos projektų valdymo agentūra,1835,2753,Prieš mokesčius,Vilnius,prieš 1 sav.
RPA administratorius (-ė),Lietuvos Respublikos aplinkos ministerijos Aplinkos projektų valdymo agentūra,1326,1989,Prieš mokesčius,Vilnius,prieš 1 sav.
INFORMACINIŲ TECHNOLOGIJŲ EKSPERTĖ (-AS),Ignitis group,3124,4686,Prieš mokesčius,Elektrėnai,prieš 1 sav.
INFORMACINIŲ TECHNOLOGIJŲ EKSPERTĖ (-AS) (ELEKTRĖNAI),Ignitis group,3124,4686,Prieš mokesčius,Kaunas,prieš 1 sav.
Programuotojas (-a),Lietuvos Respublikos aplinkos ministerijos Aplinkos projektų valdymo agentūra,1560,2340,Prieš mokesčius,Vilnius,prieš 1 sav.
IT analitikas (-ė),Lietuvos Respublikos aplinkos ministerijos Aplinkos projektų valdymo agentūra,1560,2340,Prieš mokesčius,Vilnius,prieš 1 sav.
IT skyriaus vadovas (-ė),SĮ Vilniaus atliekų sistemos administratorius VASA,3500,4000,Prieš mokesčius,Vilnius,liko 1 d.
KIBERNETINĖS SAUGOS ANALITIKĖ (-AS),Ignitis group,4193,6290,Prieš mokesčius,Vilnius,prieš 1 sav.
IT in-store Retail Solutions Specialist,IT Foundation_LT Baltic,N/A,N/A,N/A,Vilnius,liko 4 d.
Mechanikos inžinierius,"Iconn networks, UAB",2100,3200,"""į rankas""",Vilnius,prieš 1 sav.
BIURO ĮRANGOS / IT INŽINIERIAUS (-ĖS),"Orgsitus, UAB",1500,2500,Prieš mokesčius,Panevėžys,prieš 1 sav.
Frontend (VueJS) inžinierius / Frontend (VueJS) Engineer,"Iconn networks, UAB",2300,3700,"""į rankas""",Vilnius,prieš 1 sav.
Programuotojas / inžinierius (Programmer / Engineer),"Iconn networks, UAB",2700,4700,"""į rankas""",Vilnius,prieš 1 sav.
Cyber Security Sales Engineer,"Indigroup, UAB",2800,3300,Prieš mokesčius,Vilnius,prieš 1 sav.
Programinės įrangos palaikymo inžinierius (-ė) (software support engineer),"Personalo valdymo inovacijos, UAB",2976,4463,Prieš mokesčius,Vilnius,liko 2 d.
IT INFRASTRUCTURE PLATFORMS & CLOUD TEAM LEAD (F/M/D),Ignitis group,3436,5155,Prieš mokesčius,Vilnius,prieš 1 sav.
Informacinių technologijų skyriaus kompiuterių taikymo inžinierius (-ė),"Ignalinos atominė elektrinė, VĮ",1800,2050,Prieš mokesčius,Visaginas,prieš 2 sav.
Microsoft 365 Security Specialist,"Festo, UAB",2000,2000,Prieš mokesčius,Kaunas,prieš 2 sav.
Geografinių informacinių sistemų specialistas,"Žemės ūkio duomenų centras, VĮ",1400,1400,Prieš mokesčius,Vilnius,prieš 2 sav.
Power Platform Specialist,"Indigroup, UAB",3300,4000,Prieš mokesčius,Vilnius,prieš 2 sav.
Digital reklamos planuotojas (-a),"Laisvas ir nepriklausomas kanalas, UAB",1200,1500,"""į rankas""",Vilnius,liko 4 d.
IT PRODUKTO VADOVAS,"Ortho Baltic, UAB",3300,5000,Prieš mokesčius,Kaunas,prieš 2 sav.
Pardavimo specialistas,UAB Prodivi,1700,2500,Prieš mokesčius,Kaunas,prieš 2 sav.
SAP ABAP Developer (Internship),"Festo, UAB",950,950,Prieš mokesčius,Kaunas,prieš 2 sav.
IT Project Manager,CVMarket.lt,3500,0,Prieš mokesčius,Vilnius,prieš 2 sav.
MS Power BI analitikas,"Rhenus Logistics, UAB",1800,2000,"""į rankas""",Vilnius,prieš 2 sav.
GIS SPECIALIST OFFSHORE (F/M/D) | IGNITIS RENEWABLES,Ignitis group,2022,3033,Prieš mokesčius,Vilnius,prieš 2 sav.
Vyr. duomenų analitikas (-ė),"Registrų centras, VĮ",1918,2878,Prieš mokesčius,Vilnius,prieš 3 sav.
Vyr. sistemų architektas (-ė),"Registrų centras, VĮ",3238,4856,Prieš mokesčius,Vilnius,prieš 3 sav.
Vyr. sistemų administratorius (-ė) (IS aplikacijų priežiūros skyriuje),"Registrų centras, VĮ",2625,3937,Prieš mokesčius,Vilnius,prieš 3 sav.
PROJECT LEAD/ PHP FULL-STACK DEVELOPER (stambi tarptautinė IT sistemų vystymo kompanija),"Personalo akademija, UAB",3500,4000,"""į rankas""",Vilnius,prieš 3 sav.
Senior RPA Developer (4+ years of experience),Office Samurai,3000,4500,Prieš mokesčius,Vilnius,prieš 3 sav.
Java Developer,"Indigroup, UAB",3500,7000,Prieš mokesčius,Kaunas,prieš 3 sav.
Java Developer,"Indigroup, UAB",3500,7000,Prieš mokesčius,Vilnius,prieš 3 sav.
Operations Manager,WALLESTER AS,N/A,N/A,N/A,Estija,prieš 8 val.
NATO CCDCOE Technical Researcher (Solution Architect),CR14,N/A,N/A,N/A,Estija,prieš 1 d.
NATO CCDCOE Technical Researcher (Monitoring),CR14,N/A,N/A,N/A,Estija,prieš 1 d.
SOFTWARE ENGINEER (AUTONOMY),MILREM AS,N/A,N/A,N/A,Estija,prieš 2 d.
Credit Risk Modeller,Swedbank AS,2950,5300,Prieš mokesčius,Estija,prieš 3 d.
Finnish-speaking Customer Support Representative,HITZ GAMING OÜ,2150,0,Prieš mokesčius,Estija,prieš 4 d.
ROBOTICS SOFTWARE ENGINEER (MOBILITY),MILREM AS,N/A,N/A,N/A,Estija,prieš 6 d.
Releju aizsardzības un automātikas inženieris/-e (Ķeguma HES Releju aizsardzības un automātikas dienestā),AS Latvenergo,2000,2400,Prieš mokesčius,Latvija,prieš 6 d.
TEST ENGINEER,MILREM AS,N/A,N/A,N/A,Estija,prieš 6 d.
Experimentation Program Manager,scandiweb,2000,3000,Prieš mokesčius,Estija,prieš 6 d.
Java Software Engineer - Baltic Channels,Swedbank AS,4150,6250,Prieš mokesčius,Estija,prieš 1 sav.
NATO CCDCOE Law Researcher (International Law and Cyber Norms Development),CR14,N/A,N/A,N/A,Estija,prieš 1 sav.
Email Marketing Specialist,Mapon Estonia OÜ,1800,0,Prieš mokesčius,Estija,prieš 1 sav.
Mobile Application Developer,ROZERT OÜ,N/A,N/A,N/A,Estija,prieš 1 sav.
CRO Strategist,scandiweb,2000,3000,Prieš mokesčius,Estija,prieš 1 sav.
UX Copywriter,HITZ GAMING OÜ,N/A,N/A,N/A,Estija,prieš 1 sav.
Brand Strategist,HITZ GAMING OÜ,N/A,N/A,N/A,Estija,prieš 1 sav.
Senior Data Engineer,SOLITA OÜ,N/A,N/A,N/A,Estija,prieš 1 sav.
Data & Cloud Engineer,SOLITA OÜ,N/A,N/A,N/A,Estija,prieš 1 sav.
Data Architect,SOLITA OÜ,N/A,N/A,N/A,Estija,prieš 1 sav.
Data Privacy Specialist,scandiweb,1600,2400,Prieš mokesčius,Estija,prieš 1 sav.
Data Engineer,ESTO AS,N/A,N/A,N/A,Estija,prieš 2 sav.
Game Presenter,Studioworks OÜ,1300,1700,Prieš mokesčius,Estija,prieš 2 sav.
PPC Specialist,scandiweb,1400,2800,Prieš mokesčius,Latvija,prieš 2 sav.
Junior PPC Specialist,scandiweb,700,1400,Prieš mokesčius,Latvija,prieš 2 sav.
Software Engineer - CI Platform,Wise,3833,5333,Prieš mokesčius,Estija,prieš 2 sav.
IT un Telekomunikāciju montieris,AS Latvenergo,1400,1700,Prieš mokesčius,Latvija,prieš 3 sav.
Executive Assistant / Project Manager,Generative Studio - AI App Development,900,1800,Prieš mokesčius,Estija,prieš 3 sav.
Product Development Manager,DPD Eesti AS,3000,3500,Prieš mokesčius,Estija,prieš 3 sav.
Accountant,Toggl OÜ,3500,3584,Prieš mokesčius,Estija,liko 2 d.
Regional sales manager,"GLOBALREADER, OÜ",N/A,N/A,N/A,Latvija,liko 3 d.
